"","Strain","Temperature","GR1","GR2","GR3","GR4","GR5","GR6","GR7","GR8"
"1","BRX8.1",11,0.273671960993787,0.408640350227872,0.183510901211264,0.668381477118484,0.905133613396605,0.165324756285281,0.154062149417666,0.125413888158154
"2","BRX8.1",17,0.168776364088946,0.375991539312371,0.22960806611675,0.624563110343039,0.343899498366791,0.271677306524808,0.686133367671773,0.462939512069749
"3","BRX8.2",11,0.125687312794098,0.214620953205368,0.345907895876001,0.260053298049745,0.363536533775539,0.261528701073493,0.2975201197724,0.241367671733962
"4","BRX8.2",17,0.115912149470816,0.225614948175001,0.140844004544885,0.130425130978926,0.152446778290522,0.0567831622365881,0.125725043651117,0.2763155676693
"5","BRX8.3",11,0.931053679005969,0.439417298811868,0.459313220667959,0.550019082169531,0.510245743718544,0.298093784366763,0.293303922786425,0.156258727492403
"6","BRX8.3",17,0.236092212479847,0.499566838501217,0.521461573795307,0.212457980502496,0.324971661338711,0.115461308295033,0.285653532766679,0.20062407309233
"7","BRX8.4",11,0.085848370646996,0.0679380545949068,0.123855287870504,0.120352985077368,0.149163818304934,0.131745503825584,0.35234793070798,0.0534520219486747
"8","BRX8.4",17,0.284968920371707,0.620491551195112,0.741595657096007,0.298152629399439,0.184460272695738,0.639970083942125,0.591530400097386,0.284111254877744
"9","BRX8.5",11,0.18469102569715,0.365850818082194,0.477677812390456,0.414640107219584,0.382344563050848,0.364065258664183,0.380546863376967,0.478226039904636
"10","BRX8.5",17,0.284654581895293,0.762241945012682,0.21034656197413,0.126862810585301,0.175898004900639,0.156990564331361,0.186823923473265,0.245079078595904
"11","BRX8.6",11,0.291622021020869,0.517534856787968,0.29610570259731,0.344753326891796,0.281899179212216,0.40023393507232,0.447011131181789,0.536173861067356
"12","BRX8.6",17,0.284459075273583,0.701527717059394,0.830484801229746,0.55405879234373,0.375067538053389,0.19882807655166,0.347395098625146,0.303488440293886
"13","BRX8.7",4,0.157799194004035,0.144479805222334,0.103684164222905,0.0838815773871458,0.0508142531961921,0.0780948352716613,0.0848880021221389,0.159252317871471
"14","BRX8.7",11,0.307995704576292,0.26678815331065,0.440738711311888,1.1505511945463,0.325373725355248,1.13228496154375,0.529668600561978,0.379451433076704
"15","BRX8.7",17,0.466912056449395,0.397585747179195,0.338324513296339,0.474508770602442,0.32149165138135,0.399257038311425,0.227474666155326,0.632854209302876
"16","BRX8.8",4,0.0918901064539287,0.0603052639129157,0.194484132259046,0.0608499434216391,0.13254301987733,0.304973046111191,0.21039115877819,0.0689555407880401
"17","BRX8.8",11,0.367052291773573,0.529906390135729,0.208496444452934,0.252681942874381,0.261550075590861,0.28243510978761,0.0533261182898774,0.355660156692572
"18","BRX8.8",17,0.227678075362214,0.302363014485794,0.455678319707858,0.679305578474636,0.444864825129481,0.711733953038092,0.415611116625591,0.357186222283413
