Genome	AllGenes	SingleCopy	Filtered_SingleCopy
2011152.3	1202	522	57
56799.6	1390	647	62
56799.7	1438	451	49
2011151.3	1614	652	78
56799.10	1704	1049	98
56799.11	2335	1182	98
2267621.3	2379	1215	100
2305464.3	2397	1233	100
2011157.3	2420	833	85
2689569.3	2482	1223	100
2508879.3	2499	1245	100
2304625.3	2560	1245	100
28228.20	2592	1250	100
2011145.3	2766	810	75
2497879.3	2771	1258	100
89402.3	2794	1265	100
89402.5	2796	1265	100
89402.4	2797	1265	100
28228.23	2839	1263	100
28228.33	2864	1264	100
28228.31	2900	1255	100
56799.9	2928	1079	93
28228.30	2933	1266	100
28228.21	2935	1266	100
28228.18	2938	1266	100
28228.22	2938	1266	100
28228.19	2939	1266	100
28228.24	2941	1266	100
28228.25	2968	1266	100
1820336.3	2973	1247	100
28228.26	2986	1266	100
28228.28	2987	1266	100
28228.29	2987	1266	100
28228.27	2987	1266	100
28228.32	3011	1266	100
1982103.3	3020	1186	100
56799.8	3025	1221	99
56799.4	3133	1205	100
1856279.3	3221	1197	100
1380381.3	3235	1119	98
2161872.4	3268	1258	100
641665.3	3298	1248	100
641665.4	3306	1248	100
89401.3	3311	1266	100
1917165.4	3313	1212	100
326537.3	3314	1259	100
28229.6	3374	1174	96
58049.4	3377	1263	100
329993.3	3395	1261	100
1967665.3	3396	1258	100
56799.5	3401	1134	98
1718921.3	3403	1263	100
329993.4	3404	1261	100
1816219.4	3463	1258	100
1911682.3	3464	1211	100
1816218.3	3482	1266	100
1888913.3	3509	1254	100
1513592.3	3577	1263	100
1720342.3	3589	1261	100
2058299.3	3668	1266	100
167879.5	3671	1266	100
28229.4	3781	1266	100
28229.11	3828	1178	99
888425.3	3851	1262	100
2058305.3	3875	1266	100
1265503.3	3911	1262	100
28229.3	3996	1262	100
